,Unnamed: 0,Track,Year,Closest Passage (km),Angle of Passage,close_x,close_y,Vm_max,Vm_rmin,Rm_max,Rm_rmin,Direction,U,V,Max Surge (m),pass_libh
94,94,95,1990,33.79672032904997,266.79929329897976,-75.13400000000001,22.961,45.2453498,33.053027,119.93,30.2,NW,-0.6190000000000282,0.2249999999999978,0.459455,33.79672032904997
95,95,96,1990,74.10694522107875,77.98316369654883,-74.97800000000001,23.918,27.51246512,17.022951960000004,110.87,42.22,NW,-0.5319999999999823,0.2639999999999993,0.552418,74.10694522107875
96,96,97,1990,105.90127176290314,211.32423214302696,-75.93200000000002,22.769,36.30431308,29.41076348,116.91,24.96,NW,-0.3000000000000113,0.3789999999999978,0.542423,105.90127176290314
97,97,98,1990,105.26200874484432,332.21894742936445,-74.27800000000002,22.823,34.930747600000004,10.18084676,113.96,67.08,NE,0.0619999999999549,0.1320000000000014,0.530046,105.26200874484432
98,98,99,1990,12.186263291098962,20.250633509283617,-75.01400000000001,23.303,60.9101696,23.30945764,120.25,31.29,NW,-0.4639999999999986,0.120000000000001,0.650722,12.186263291098962
99,99,100,1990,26.09515334310334,9.302054711298348,-74.88499999999999,23.303,33.96873732,8.98733668,120.09,74.47,NW,-0.6469999999999914,0.0920000000000023,0.57037,26.09515334310334
100,100,101,1990,82.50705488017392,52.15881916475147,-74.661,23.852,37.14800124,23.3043132,119.98,31.3,NW,-0.3360000000000127,0.1739999999999995,0.512876,82.50705488017392
101,101,102,1990,76.8095938929521,205.4170670269725,-75.74200000000002,22.968,42.7502964,11.59042332,119.98,59.95,NW,-0.13900000000001,0.2519999999999989,0.402075,76.8095938929521
102,102,103,1990,94.36782361059372,284.78815632167107,-74.89999999999998,22.443,18.94182808,15.82944188,138.33,60.74,SW,-0.6329999999999814,-0.3989999999999973,0.383834,94.36782361059372
103,103,104,1990,72.57812899903014,67.71042471047664,-74.86900000000003,23.87,38.19232256,4.629996,120.17,119.63,NW,-0.2759999999999536,0.0500000000000007,0.452396,72.57812899903014
104,104,105,1990,86.9091014451285,219.40268018268995,-75.72199999999998,22.768,32.85239384,17.7225958,120.18,40.65,NW,-0.1659999999999968,0.1660000000000003,0.501111,86.9091014451285
105,105,106,1990,58.710501275326415,112.6865266742325,-75.32100000000003,23.753,18.29362864,14.4301542,118.1,49.23,NE,0.3249999999999886,0.4630000000000009,0.45415,58.710501275326415
106,106,107,1990,64.726992483816,248.8919450807579,-75.327,22.721,20.27423804,7.8195488,120.35,83.25,NW,-0.2189999999999941,0.0740000000000016,0.456314,64.726992483816
107,107,108,1990,74.76111632392912,284.18066896563425,-74.952,22.612,23.6129796,9.5429362,120.18,70.85,SW,-0.27800000000002,-0.0560000000000009,0.480794,74.76111632392912
108,108,109,1990,79.23409834156037,111.53311695424992,-75.37900000000002,23.929,26.42698828,20.60862664,135.2,47.58,NE,0.2889999999999872,0.1559999999999988,0.337674,79.23409834156037
109,109,110,1990,59.23542846135304,297.81354613265614,-74.868,22.793,14.795409440000002,12.3209338,142.78,75.85,NE,0.4429999999999836,0.4310000000000009,0.565941,59.23542846135304
110,110,111,1990,26.421730828997507,307.83276127148054,-74.971,23.077,22.11594756,10.551246440000002,119.92,46.19,NW,-0.5450000000000159,0.3160000000000025,0.475071,26.421730828997507
111,111,112,1990,33.03439071634111,151.28198603381972,-75.37799999999999,23.408,45.56430508,9.06964772,119.85,73.9,NE,0.0450000000000159,0.0880000000000009,0.492092,33.03439071634111
112,112,113,1990,38.06636531112499,249.87415391412617,-75.23500000000001,22.943,30.79461784,10.165413440000002,119.95,67.18,NW,-0.4569999999999936,0.0080000000000026,0.558691,38.06636531112499
113,113,114,1990,82.89210670504029,118.3838985039645,-75.47199999999998,23.922,21.46774812,7.22279376,119.84,88.49,SW,-0.4739999999999895,-0.0839999999999996,0.466285,82.89210670504029
114,114,115,1990,44.633181434893785,305.58737056313635,-74.88299999999998,22.938,14.7645428,5.4531064,120.18,107.96,NE,0.146000000000015,0.0819999999999971,0.548815,44.633181434893785
115,115,116,1990,77.13757302378652,92.96945384166122,-75.15300000000002,23.959,55.174119000000005,41.145231120000005,116.74,17.94,NE,0.2239999999999895,0.0429999999999992,0.500886,77.13757302378652
116,116,117,1990,28.613250933789526,265.550152933345,-75.137,23.008,48.85160224,11.86307864,130.75,78.35,NW,-0.2970000000000254,0.1729999999999982,0.497375,28.613250933789526
117,117,118,1990,105.16451882645728,3.1462845853405543,-74.17099999999999,23.317,41.08864228,28.15552012,135.33,35.3,NW,-0.0879999999999654,0.4239999999999995,0.434328,105.16451882645728
118,118,119,1990,76.19889270849097,137.36137465817615,-75.62200000000001,23.73,19.17847232,14.74910948,119.96,48.24,NE,0.1649999999999636,0.2349999999999994,0.603359,76.19889270849097
119,119,120,1990,76.62610670652597,56.40201078689772,-74.73500000000001,23.84,53.59477592,42.086663640000005,120.28,23.83,NW,-0.2649999999999863,0.1370000000000004,0.505511,76.62610670652597
